check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-27 09:03:57.151293,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1218,1218,2,0
2019-01-27 10:03:49.320299,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1615,397,0,0
2019-01-27 11:03:54.519285,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1785,170,0,0
2019-01-27 12:03:59.664909,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1850,65,0,0
2019-01-27 13:03:51.775741,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1886,36,0,0
2019-01-27 14:03:56.950175,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1900,14,0,0
2019-01-27 15:03:49.092425,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1909,9,0,0
2019-01-27 16:03:54.535882,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1913,4,0,0
2019-01-27 17:03:59.587428,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1916,3,0,0
2019-01-27 18:03:51.689683,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1928,12,0,0
2019-01-27 19:03:56.755837,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1931,3,0,0
2019-01-27 20:03:48.833665,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1936,5,0,0
2019-01-27 21:03:54.110238,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1943,7,0,0
2019-01-27 22:03:59.203174,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1947,4,0,0
2019-01-27 23:03:51.417191,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1950,3,0,0
2019-01-28 00:03:56.653789,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1956,6,0,0
2019-01-28 01:03:48.734038,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1958,2,0,0
2019-01-28 02:03:53.846598,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1962,4,0,0
2019-01-28 03:03:59.057823,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1966,4,0,0
2019-01-28 04:03:51.123529,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1966,0,0,0
2019-01-28 05:03:56.697186,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1967,1,0,0
2019-01-28 06:03:48.780659,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1969,2,0,0
2019-01-28 07:03:53.828168,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1972,3,0,0
2019-01-28 08:03:58.913372,13100246,2,0,2019-01-27 08:03:48, 페이스북·SKB 망사용료 계약…구글·넷플릭스도 영향받나. GISA ,1974,2,0,0
