,check_time,id,post_reply,post_symph,post_time,post_title,post_view
0,2019-01-28 17:37:03.992759,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1472
1,2019-01-28 18:37:09.020475,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1597
2,2019-01-28 19:37:14.235427,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1645
3,2019-01-28 20:37:06.340098,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1679
4,2019-01-28 21:37:11.877540,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1697
5,2019-01-28 22:37:04.079897,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1711
6,2019-01-28 23:37:09.411533,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1722
7,2019-01-29 00:37:14.545426,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1733
8,2019-01-29 01:37:06.713241,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1739
9,2019-01-29 02:37:11.821243,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1741
10,2019-01-29 03:37:03.950266,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1744
11,2019-01-29 04:37:09.077951,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1748
12,2019-01-29 05:37:14.189603,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1748
13,2019-01-29 06:37:06.274797,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1749
14,2019-01-29 07:37:11.347000,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1751
15,2019-01-29 08:37:03.507061,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1752
16,2019-01-29 09:37:08.672586,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1754
17,2019-01-29 10:37:14.090726,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1757
18,2019-01-29 11:37:06.198970,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1759
19,2019-01-29 12:37:11.334485,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1760
20,2019-01-29 13:37:03.491421,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1761
21,2019-01-29 14:37:08.651602,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1763
22,2019-01-29 15:37:13.805084,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1765
23,2019-01-29 16:37:05.999883,13105111,1,0,2019-01-28 16:37:02, 답이 안나오는 상사 ,1770
