check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-24 19:32:11.004234,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2378,2378,8,0
2019-01-24 20:32:16.322824,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2674,296,0,0
2019-01-24 21:32:08.427475,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2785,111,0,0
2019-01-24 22:32:13.436929,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2855,70,0,0
2019-01-24 23:32:18.450290,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2887,32,0,0
2019-01-25 00:32:10.526637,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2903,16,0,0
2019-01-25 01:32:15.609784,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2914,11,0,0
2019-01-25 02:32:07.652138,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2918,4,0,0
2019-01-25 03:32:12.696363,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2925,7,0,0
2019-01-25 04:32:17.935430,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2931,6,0,0
2019-01-25 05:32:09.979282,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2937,6,0,0
2019-01-25 06:32:15.200745,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2941,4,0,0
2019-01-25 07:32:07.198124,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2945,4,0,0
2019-01-25 08:32:12.320529,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2952,7,0,0
2019-01-25 09:32:17.455845,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2959,7,0,0
2019-01-25 10:32:09.554379,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2964,5,0,0
2019-01-25 11:32:14.714326,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2967,3,0,0
2019-01-25 12:32:19.893007,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2969,2,0,0
2019-01-25 13:32:12.467606,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2971,2,0,0
2019-01-25 14:32:17.771968,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2974,3,0,0
2019-01-25 15:32:09.901975,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2979,5,0,0
2019-01-25 16:32:15.213561,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2981,2,0,0
2019-01-25 17:32:07.333042,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2982,1,0,0
2019-01-25 18:32:12.457346,13090523,8,0,2019-01-24 18:32:07," 15만원 할인 'PS4', 반나절 만에 동났다 ",2984,2,0,0
