check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-27 10:06:19.576353,13100310,16,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,3392,3392,16,1
2019-01-27 11:06:24.830460,13100310,17,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,4371,979,1,0
2019-01-27 12:06:29.965689,13100310,17,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,4778,407,0,0
2019-01-27 13:06:22.243540,13100310,17,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,4969,191,0,0
2019-01-27 14:06:27.414798,13100310,17,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5122,153,0,0
2019-01-27 15:06:19.583425,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5220,98,1,0
2019-01-27 16:06:24.640084,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5287,67,0,0
2019-01-27 17:06:29.777841,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5335,48,0,0
2019-01-27 18:06:21.761796,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5367,32,0,0
2019-01-27 19:06:26.762762,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5390,23,0,0
2019-01-27 20:06:19.049924,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5408,18,0,0
2019-01-27 21:06:24.120464,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5425,17,0,0
2019-01-27 22:06:29.150075,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5437,12,0,0
2019-01-27 23:06:21.420089,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5449,12,0,0
2019-01-28 00:06:26.514706,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5457,8,0,0
2019-01-28 01:06:31.620672,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5460,3,0,0
2019-01-28 02:06:23.583906,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5464,4,0,0
2019-01-28 03:06:28.603085,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5468,4,0,0
2019-01-28 04:06:20.657758,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5471,3,0,0
2019-01-28 05:06:25.718897,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5474,3,0,0
2019-01-28 06:06:30.713909,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5476,2,0,0
2019-01-28 07:06:22.702752,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5479,3,0,0
2019-01-28 08:06:27.769290,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5484,5,0,0
2019-01-28 09:06:19.820539,13100310,18,1,2019-01-27 09:06:19, 원룸은 옆집을 잘 만나야겠네요 ,5486,2,0,0
