check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-24 18:27:28.676374,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,664,664,4,0
2019-01-24 19:27:33.869814,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,736,72,0,0
2019-01-24 20:27:26.141901,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,759,23,0,0
2019-01-24 21:27:31.225716,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,766,7,0,0
2019-01-24 22:27:23.236218,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,768,2,0,0
2019-01-24 23:27:28.380681,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,774,6,0,0
2019-01-25 00:27:33.382188,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,776,2,0,0
2019-01-25 01:27:25.357179,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,779,3,0,0
2019-01-25 02:27:30.691372,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,785,6,0,0
2019-01-25 03:27:22.846788,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,789,4,0,0
2019-01-25 04:27:28.694291,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,789,0,0,0
2019-01-25 05:27:34.059453,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,790,1,0,0
2019-01-25 06:27:26.201639,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,791,1,0,0
2019-01-25 07:27:31.280536,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,795,4,0,0
2019-01-25 08:27:23.369521,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,798,3,0,0
2019-01-25 09:27:28.647533,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,800,2,0,0
2019-01-25 10:27:33.782402,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,802,2,0,0
2019-01-25 11:27:25.820527,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,805,3,0,0
2019-01-25 12:27:31.130533,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,810,5,0,0
2019-01-25 13:27:23.257723,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,813,3,0,0
2019-01-25 14:27:28.386620,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,817,4,0,0
2019-01-25 15:27:33.667301,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,822,5,0,0
2019-01-25 16:27:25.690537,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,823,1,0,0
2019-01-25 17:27:30.711176,13090326,4,0,2019-01-24 17:27:22, 이번 바이오하자드2 리메이크 PC판은 패키지가 없나보군요. ,828,5,0,0
