check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-25 11:42:16.628471,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,171,171,2,2
2019-01-25 12:42:21.613873,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,186,15,0,0
2019-01-25 13:42:13.700385,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,191,5,0,0
2019-01-25 14:42:18.730054,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,195,4,0,0
2019-01-25 15:42:23.822038,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,198,3,0,0
2019-01-25 16:42:15.821726,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,199,1,0,0
2019-01-25 17:42:20.991167,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,201,2,0,0
2019-01-25 18:42:13.023149,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,204,3,0,0
2019-01-25 19:42:18.200447,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,205,1,0,0
2019-01-25 20:42:23.362220,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,207,2,0,0
2019-01-25 21:42:15.669121,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,208,1,0,0
2019-01-25 22:42:20.781660,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,210,2,0,0
2019-01-25 23:42:12.965366,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,212,2,0,0
2019-01-26 00:42:18.369060,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,214,2,0,0
2019-01-26 01:42:23.474099,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,217,3,0,0
2019-01-26 02:42:15.457301,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,218,1,0,0
2019-01-26 03:42:20.737211,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,220,2,0,0
2019-01-26 04:42:12.721731,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,221,1,0,0
2019-01-26 05:42:17.769412,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,222,1,0,0
2019-01-26 06:42:22.748130,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,223,1,0,0
2019-01-26 07:42:14.750900,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,226,3,0,0
2019-01-26 08:42:19.840394,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,227,1,0,0
2019-01-26 09:42:11.910962,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,228,1,0,0
2019-01-26 10:42:17.033554,13092904,2,2,2019-01-25 10:42:11, [나눔] KT 데이터 100mb * 5 ,229,1,0,0
