check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-30 20:02:09.775873,13113676,35,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1527,1527,35,2
2019-01-30 21:02:15.826606,13113676,35,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1680,153,0,0
2019-01-30 22:02:08.084286,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1758,78,1,0
2019-01-30 23:02:13.260398,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1828,70,0,0
2019-01-31 00:02:05.440798,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1897,69,0,0
2019-01-31 01:02:10.533187,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1932,35,0,0
2019-01-31 02:02:15.646354,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1953,21,0,0
2019-01-31 03:02:07.583577,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1966,13,0,0
2019-01-31 04:02:12.584103,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1974,8,0,0
2019-01-31 05:02:04.920361,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1979,5,0,0
2019-01-31 06:02:10.013128,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1985,6,0,0
2019-01-31 07:02:15.164867,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,1993,8,0,0
2019-01-31 08:02:07.318860,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2000,7,0,0
2019-01-31 09:02:12.378959,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2010,10,0,0
2019-01-31 10:02:04.427221,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2019,9,0,0
2019-01-31 11:02:09.575718,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2022,3,0,0
2019-01-31 12:02:14.543605,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2029,7,0,0
2019-01-31 13:02:06.608293,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2033,4,0,0
2019-01-31 14:02:11.640484,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2040,7,0,0
2019-01-31 15:02:16.677070,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2041,1,0,0
2019-01-31 16:02:08.703078,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2042,1,0,0
2019-01-31 17:02:13.782404,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2044,2,0,0
2019-01-31 18:02:05.904117,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2047,3,0,0
2019-01-31 19:02:11.024803,13113676,36,2,2019-01-30 19:02:04, 전라도인데 일베 성향인 사람도 있네요 ,2047,0,0,0
