,check_time,id,post_reply,post_symph,post_time,post_title,post_view
0,2019-01-26 09:56:12.111097,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,290
1,2019-01-26 10:56:17.210049,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,329
2,2019-01-26 11:56:09.325987,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,337
3,2019-01-26 12:56:14.415148,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,347
4,2019-01-26 13:56:06.519857,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,351
5,2019-01-26 14:56:11.640035,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,353
6,2019-01-26 15:56:16.785956,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,359
7,2019-01-26 16:56:08.887612,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,360
8,2019-01-26 17:56:14.037350,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,362
9,2019-01-26 18:56:06.159366,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,365
10,2019-01-26 19:56:11.532004,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,369
11,2019-01-26 20:56:16.653100,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,371
12,2019-01-26 21:56:08.964264,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,372
13,2019-01-26 22:56:14.365737,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,373
14,2019-01-26 23:56:06.525799,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,374
15,2019-01-27 00:56:11.689117,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,376
16,2019-01-27 01:56:16.924573,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,377
17,2019-01-27 02:56:08.998739,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,378
18,2019-01-27 03:56:14.097785,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,379
19,2019-01-27 04:56:06.102237,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,380
20,2019-01-27 05:56:11.136748,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,381
21,2019-01-27 06:56:16.186205,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,383
22,2019-01-27 07:56:08.292441,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,384
23,2019-01-27 08:56:13.407223,13097056,0,0,2019-01-26 08:56:06, 영화보러 왔는데 아시안컵 광고하네요 ,385
