check_time,id,post_reply,post_symph,post_time,post_title,post_view,post_view_diff,post_reply_diff,post_symph_diff
2019-01-26 14:47:18.204221,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,1840,1840,13,0
2019-01-26 15:47:23.363927,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,1948,108,0,0
2019-01-26 16:47:15.429620,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,1997,49,0,0
2019-01-26 17:47:20.485823,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2018,21,0,0
2019-01-26 18:47:12.860087,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2031,13,0,0
2019-01-26 19:47:18.189812,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2039,8,0,0
2019-01-26 20:47:23.260723,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2043,4,0,0
2019-01-26 21:47:15.439515,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2044,1,0,0
2019-01-26 22:47:20.479769,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2046,2,0,0
2019-01-26 23:47:12.501982,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2049,3,0,0
2019-01-27 00:47:17.570906,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2052,3,0,0
2019-01-27 01:47:22.584285,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2054,2,0,0
2019-01-27 02:47:14.615867,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2055,1,0,0
2019-01-27 03:47:19.662342,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2056,1,0,0
2019-01-27 04:47:24.930609,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2057,1,0,0
2019-01-27 05:47:17.070749,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2059,2,0,0
2019-01-27 06:47:22.172042,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2061,2,0,0
2019-01-27 07:47:14.322153,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2062,1,0,0
2019-01-27 08:47:19.554214,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2065,3,0,0
2019-01-27 09:47:24.643877,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2066,1,0,0
2019-01-27 10:47:16.750127,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2068,2,0,0
2019-01-27 11:47:21.829670,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2070,2,0,0
2019-01-27 12:47:14.007375,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2071,1,0,0
2019-01-27 13:47:19.521897,13097927,13,0,2019-01-26 13:47:12, 팩트 체크가 되지 않아 수정합니다 ,2073,2,0,0
